taxon_oid,domain,taxon_name
2001200001,*Microbiome,"Soil microbial communities from Waseca County, Minnesota, USA - Sample 10150"
2001200002,*Microbiome,"Fossil microbial communities from Whale Fall, Santa Cruz Basin, Pacific Ocean - Rib Bone Sample"
2001200003,*Microbiome,"Fossil microbial communities from Whale Fall, Santa Cruz Basin - Microbial Mat Sample"
2001200004,*Microbiome,"Fossil microbial communities from Whale Fall, Santa Cruz Basin of the Pacific Ocean - Bone"
2003000006,*Microbiome,Singapore Air Sample 1
2003000007,*Microbiome,Singapore Air Sample 2
2004178001,*Microbiome,"Olavius algarvensis microbial communities from Capo di Sant'Andrea bay, Elba, Italy - Delta1"
2004247000,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 0-1 mm depth into microbial mat"
2004247001,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 1-2mm depth into microbial mat"
2004247002,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 2-3 mm depth into microbial mat"
2004247003,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 3-4 mm depth into microbial mat"
2004247004,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 4-5 mm depth into microbial mat"
2004247005,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 5-6 mm depth into microbial mat"
2004247006,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 6-10 mm depth into microbial mat"
2004247007,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 10-22 mm depth into microbial mat"
2004247008,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 22-34 mm depth into microbial mat"
2004247009,*Microbiome,"Hypersaline mat microbial communities from Guerrero Negro, Mexico - 34-49 mm depth into microbial mat"
2006207004,*Microbiome,Sediment methylotrophic communities from Lake Washington - Formate enrichment
2006543006,*Microbiome,Marine microbial communities from anoxic basin of Saanich Inlet - SI040908_100
2006543007,*Microbiome,"Uranium contaminated groundwater from Oak Ridge Integrated Field Research Center, Tennessee"
2007309000,*Microbiome,"Hot spring microbial communities from Yellowstone Bath Hot Springs, Wyoming, USA - Filamentous sample"
2007309001,*Microbiome,"Hot spring planktonic communities from Yellowstone Bath Hot Springs, Wyoming, USA"
2007427000,*Microbiome,"Uranium contaminated groundwater from Oak Ridge Integrated Field Research Center, Tennessee"
2008193000,*Microbiome,"Marine bacterioplankton communities from Palmer Station B, Arthur Harbor, Antarctica - Summer"
2008193001,*Microbiome,"Marine bacterioplankton communities from Palmer Station B, Arthur Harbor, Antarctica - Winter"
2009439000,*Microbiome,2_050719S
2009439003,*Microbiome,1_050719N
2010170001,*Microbiome,3_050719R
2010170002,*Microbiome,4_050719Q
2010170003,*Microbiome,5_050719P
2010484004,*Microbiome,"Acid Mine Drainage (ARMAN) microbial communities from Richmond mine, Iron Mountain, CA, sample from Ultra Back A BS"
2010549000,*Microbiome,"Rice endophytes microbial communities from Berkeley, California, USA"
2012990006,*Microbiome,"Hot spring microbial communities from Joseph's Coat Spring Transect A, Yellowstone National Park, USA - YSTONE1 (JC3A)"
2012990007,*Microbiome,"Hot spring microbial communities from Beowulf East Transect D, Yellowstone National Park, USA - YSTONE2 (BED)"
2013515000,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP6  White Creek Site 3"
2013515001,*Microbiome,"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP8 OSP Spring"
2013515002,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP13 Bechler Spring"
2013843001,*Microbiome,"Activated sludge microbial communities from Commune de Morges, Switzerland - plasmid pool Morges-2007 (PGA)"
2013843002,*Microbiome,"Groundwater dechlorinating microbial communities from synthetic mineral medium in Toronto, Ontario, Canada - Site contaminated with chlorinated ethenes"
2013843003,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP4 Joseph's Coat Springs"
2013954001,*Microbiome,"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP14 OSP Spring"
